Timestamp,Industry,Employees_size  , IT_size,team_size,LifeCycle_Software,Software_System,Software_system_architecture,Deployable_Components, Runtime_component_instances,Component_Communication_Styles ,Deployed_on,Computing_Model_Layers ,Release_automation_rate,upgrades_release rate,System_load_ user_requests,observability_rate,problem_discover  ,Incident_first_check_metrics, Most_common_incident ,Incidents_require_manual_ intervention,managed_incidents,Incidents_number_history,unavailability_time,Incident_diagnose_time,Deployment_techniques,third_party_tools ,new_component_in production,monitoring_information_access,alert_receiver,receive_alerts_employees,alert_rate, alert_percentage,maximum_granularity , retention _policy,reliability_availability,maturity level_improvement,adoption_main_obstacles,survey_useful,additional_comments,
8-3-2016 19:00:30,Technology,"> 100,000","> 10,000",21 - 50,"Development, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)","Client-server, Service-oriented architecture (SOA)",1 - 3,1 - 5,Publish/subscribe communication,Private hosting,Bare metal,3,At least 1 release per year,11 - 100,3,Automatically,"Availability, Network activity",Buggy release of core components,"Buggy release of core components, Wrong configuration update",Network saturation,6 - 20,Less than 12 hours,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Business,"Operators, Business",21 - 100,At least 1 per week,1 - 5%,Over 1 minute,Monitoring data is not stored,All or some of the monitoring components are monitored as well as core system components,No because investing time and money on monitoring is not perceived as a profitable investment,We don’t value monitoring as a strategic investment,Partially,,
8-3-2016 19:07:49,Insurance,1 - 5,1 - 5,1 - 5,"Design, Development","Enterprise Infrastructure Software (e.g.: Mail, DBs)","Monolithic architecture, Client-server, Peer-to-peer",21 - 50,6 - 20,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,Linux Containers (e.g.: Docker),5,At least 1 release per week,"101 - 1,000",5,Manually,"Availability, Requests/response latency, Database related metrics",Wrong configuration update,"Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update","Damaged hardware, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","501 - 1,000",Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)","Elasticsearch, Google Analytics, Oracle",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,"Developers, Operators, Business",6 - 20,At least 1 per week,21 - 50%,2 to 10 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"There are too many tools, Lack of standardization",Yes,,
8-3-2016 19:11:32,Technology,101 - 500,6 - 20,1 - 5,"Development, research",AI application,Microservices,1 - 3,1 - 5,Request/response synchronous communication,Private hosting,Linux Containers (e.g.: Docker),3,At least 1 release per month,< 1,2,Manually,"Memory activity (RAM), CPU activity",Memory saturation,Buggy release of core components,,1 - 5,No availability issues in the last year,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,1 - 20 per day,6 - 20%,No monitoring data is collected,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future",Lack of automation,Partially,,
8-3-2016 19:18:57,Technology,21 - 100,21 - 100,1 - 5,Development,Business intelligence software,"Monolithic architecture, Service-oriented architecture (SOA)",1 - 3,6 - 20,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,Virtual machines (IaaS),2,At least 1 release per month,1 - 10,3,Automatically,"Network activity, Requests/response latency, Database related metrics",Buggy release of core components,"Buggy release of core components, Wrong configuration update",,1 - 5,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,,No alert systems used,No alert systems used,,No monitoring data is collected,Monitoring data is not stored,,"Yes, we plan to improve it in the next future",There are too many tools,Partially,,
8-3-2016 19:37:20,IT services,1 - 5,1 - 5,6 - 20,"Design, Quality Assurance, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process",Websites+CRM+CMS,Web based,51 - 100,51 - 100,"Request/response synchronous communication, Publish/subscribe communication",Public hosting,"Virtual machines (IaaS), Platform (PaaS)",1,At least 1 release per year,11 - 100,2,Manually,"Availability, Requests/response throughput, Requests/response latency",CPU saturation,"CPU saturation, Memory saturation, Disk is full",,1 - 5,Less than 12 hours,More than 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",Jetpack,QoS metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,2 - 5,At least 1 per week,6 - 20%,Over 1 minute,Monitoring data is not stored,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future",Tools are hard to use and configure,Yes,,
8-3-2016 19:54:58,Aerospace,6 - 20,1 - 5,1 - 5,"Requirement Engineering, Development, System administration and operation management",Control software for critical systems,Client-server,4 - 10,1 - 5,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,Third party services (SaaS),3,At least 1 release per week,1 - 10,3,Manually,"Network activity, Error rates",Network saturation,"Wrong configuration update, Network saturation",Network saturation,1 - 5,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Business,2 - 5,At least 1 per month,1 - 5%,No monitoring data is collected,Monitoring data is not stored,There is currently no way to assess the reliability of our monitoring components,No because investing time and money on monitoring is not perceived as a profitable investment,We don’t value monitoring as a strategic investment,Partially,,
8-3-2016 20:14:45,Financials,101 - 500,6 - 20,1 - 5,"Design, Development",Product engineering software,"Service-oriented architecture (SOA), Event-driven",11 - 20,6 - 20,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,Virtual machines (IaaS),3,At least 1 release per month,1 - 10,4,Email,"Availability, Error rates",Incidents on third party service (e.g.: Cloud provider outage),Buggy release of core components,Incidents on third party service (e.g.: Cloud provider outage),21 - 100,Less than 20 minutes,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Custom dashboards internally developed",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,1 - 20 per day,More than 50%,Under the second,Monitoring data is stored as raw data forever,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future",We don’t value monitoring as a strategic investment,Yes,,
8-3-2016 21:18:01,Technology,21 - 100,21 - 100,1 - 5,System administration and operation management,Entertainment,"Client-server, Service-oriented architecture (SOA)",4 - 10,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,"Bare metal, Virtual machines (IaaS)",4,At least 1 release per week,"1,001 - 10,000",3,Manually,"Availability, Network activity",Damaged hardware,"Damaged hardware, Buggy release of core components, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","Wrong configuration update, Memory saturation, Network saturation, Disk is full",1 - 5,Less than 12 hours,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Google Analytics, Grafana, Nagios, Zabbix",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators",Operators,1,1 - 20 per day,6 - 20%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of automation, Lack of standardization",Partially,,
8-3-2016 21:34:17,Consumer Goods,"2,001 - 10,000",21 - 100,1 - 5,Management and improvement of development/operation process,Business intelligence software,Service-oriented architecture (SOA),1 - 3,6 - 20,Request/response synchronous communication,Hybrid hosting,"Bare metal, Virtual machines (IaaS)",3,At least 1 release per week,11 - 100,3,Email,"Availability, Network activity",Wrong configuration update,"Network saturation, Incidents on third party service (e.g.: Cloud provider outage)",Buggy release of core components,1 - 5,Less than 20 minutes,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",MySQL,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,2 - 5,At least 1 per week,1 - 5%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future","Lack of automation, Lack of standardization",Yes,,
8-3-2016 22:00:38,Technology,"10,001 - 100,000","501 - 2,000",1 - 5,"Development, Middleware and supporting services",Media development software,"Client-server, Event-driven",1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Private hosting,"Virtual machines (IaaS), Platform (PaaS)",2,At least 1 release per month,11 - 100,4,Manually,"Availability, CPU activity, Requests/response throughput, JVM metrics",Memory saturation,"Memory saturation, Disk is full","CPU saturation, Memory saturation",6 - 20,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Custom dashboards internally developed",Zabbix,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators",2 - 5,At least 1 per month,0%,11 to 60 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future","Lack of standardization, Tools are hard to use and configure",Partially,,
8-3-2016 22:54:57,Consumer Services,6 - 20,6 - 20,1 - 5,Development,Content access software,"Client-server, Service-oriented architecture (SOA)",1 - 3,1 - 5,"Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Public hosting,Virtual machines (IaaS),3,At least 1 release per week,1 - 10,4,Manually,"Availability, Requests/response throughput, Error rates",Buggy release of core components,"Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)","CPU saturation, Memory saturation",1 - 5,Less than 12 hours,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators, Business","Developers, Business",6 - 20,1 - 20 per day,6 - 20%,2 to 10 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of automation, Tools are hard to use and configure, Applications are hard to instrument",Yes,,
8-3-2016 22:57:54,Consumer Services,6 - 20,6 - 20,6 - 20,,Factory automation software,Client-server,1 - 3,6 - 20,,Private hosting,,3,At least 1 release per month,1 - 10,3,Manually,Error rates,Disk is full,Disk is full,Disk is full,1 - 5,Less than 20 minutes,6 - 20 minutes,Custom dashboards internally developed,,,Developers,Operators,No alert systems used,At least 1 per month,1 - 5%,Over 1 minute,,"Multiple, overlapping (or partially overlapping), monitoring solutions are used","Yes, we plan to improve it in the next future",Lack of standardization,Yes,,
8-3-2016 23:03:52,Technology,1 - 5,1 - 5,1 - 5,"Requirement Engineering, Design, Quality Assurance, Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process",Entertainment,"Client-server, Service-oriented architecture (SOA)",4 - 10,1 - 5,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS)",4,1 to 10 releases per day,1 - 10,3,Automatically,"Availability, CPU activity, Requests/response latency, Database related metrics",Buggy release of core components,"Buggy release of core components, Upgrade to a buggy third party service","CPU saturation, Memory saturation, Network saturation",6 - 20,Less than 20 minutes,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)",,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,"Developers, Operators",2 - 5,1 - 20 per day,21 - 50%,2 to 10 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"Lack of automation, Lack of standardization",Partially,,
8-3-2016 23:32:34,Consumer Services,101 - 500,21 - 100,1 - 5,Development,Media development software,Microservices,1 - 3,1 - 5,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),2,At least 1 release per month,< 1,3,Email,"Availability, Requests/response throughput",Upgrade to a buggy third party service,,Disk is full,6 - 20,No availability issues in the last year,21 - 60 minutes,,"Elasticsearch, LogStash, Prometheus",It is released with no monitoring or relying on the existing monitoring configuration,Operators,"Developers, Operators",6 - 20,At least 1 per week,6 - 20%,One second,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,We are always improving it,Tools are hard to use and configure,Yes,,
8-3-2016 23:34:54,Technology,21 - 100,6 - 20,6 - 20,"Development, System administration and operation management, Management and improvement of development/operation process",Big data application,Service-oriented architecture (SOA),11 - 20,51 - 100,"Request/response synchronous communication, Publish/subscribe communication",Public hosting,Virtual machines (IaaS),4,1 to 10 releases per day,11 - 100,4,Automatically,"Requests/response throughput, Requests/response latency",Buggy release of core components,,,1 - 5,Less than 20 minutes,Less than 5 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Grafana, InfluxDB, Sensu",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators","Developers, Operators",6 - 20,At least 1 per week,6 - 20%,11 to 60 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future",,Partially,,
8-4-2016 0:55:04,Consumer Services,1 - 5,1 - 5,1 - 5,"Requirement Engineering, Design, Development",Content access software,Client-server,4 - 10,6 - 20,Request/response asynchronous  (response expected but non-blocking) communication,Public hosting,Serverless (FaaS) (e.g.: AWS Lambda),1,At least 1 release per week,1 - 10,4,Manually,"Availability, Error rates",Buggy release of core components,"Buggy release of core components, Wrong configuration update",Damaged hardware,1 - 5,Less than 20 minutes,6 - 20 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Azure Application Insight, HockeyApp",It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,At least 1 per year,0%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,Reliability and availability of monitoring components are guaranteed by third party providers SLA,"Yes, we plan to improve it in the next future","Lack of automation, Lack of standardization",Yes,,
8-4-2016 1:15:46,Utilities,"501 - 2,000","501 - 2,000",6 - 20,"Quality Assurance, Development, System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,4 - 10,6 - 20,Request/response synchronous communication,Private hosting,"Platform (PaaS), Linux Containers (e.g.: Docker)",1,At least 1 release per month,"101 - 1,000",3,Manually,"Requests/response throughput, Requests/response latency, Error rates, Logs",Buggy release of core components,"Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update",,21 - 100,Less than 12 hours,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",MySQL,It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators",Operators,2 - 5,1 - 20 per day,1 - 5%,Over 1 minute,Monitoring data is stored as raw data forever,"There is currently no way to assess the reliability of our monitoring components, There is currently no way to assess the availability of our monitoring components",No because investing time and money on monitoring is not perceived as a profitable investment,"Lack of automation, We don’t value monitoring as a strategic investment",Yes,,
8-4-2016 8:46:29,Educational,101 - 500,6 - 20,21 - 50,"Requirement Engineering, Design, System administration and operation management","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,1 - 5,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),1,At least 1 release per year,1 - 10,1,Automatically,"Availability, Database related metrics, Error rates",Buggy release of core components,"Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, Disk is full",Damaged hardware,1 - 5,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Splunk, PRTG Paessler",It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,1 - 20 per day,More than 50%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,"All or some of the monitoring components are monitored as well as core system components, Multiple, overlapping (or partially overlapping), monitoring solutions are used","Yes, we plan to improve it in the next future","There are too many tools, Tools are hard to use and configure, We don’t value monitoring as a strategic investment",Partially,Ciao e buon lavoro!,
